ticker,gics_sector,n_test_bars,n_trades,total_return,sharpe
MPC,Energy,132,21,0.11218578231757936,3.8738882010445908
FIX,Industrials,132,48,0.1668653867593739,3.6514056220450075
VLO,Energy,132,33,0.10281237241864671,3.6306190720653593
NWS,Communication Services,132,25,0.09974308704140888,3.466156650535001
OXY,Energy,132,21,0.0657350378582382,3.4358086273454673
SNDK,Information Technology,132,66,0.1973550786167957,3.3728367226575426
GOOG,Communication Services,132,12,0.06016234773735096,2.9756045316914257
GOOGL,Communication Services,132,10,0.05217054644253527,2.9347293473449123
YUM,Consumer Discretionary,132,9,0.03535062847780601,2.8068399915971884
FLEX,Information Technology,132,73,0.13955879893618972,2.801862349811621
CVX,Energy,132,8,0.02655024209332013,2.7816654728189065
MCD,Consumer Discretionary,132,5,0.017899574877612068,2.780614350621716
JBL,Information Technology,132,57,0.10444598050658405,2.780558923376121
SLB,Energy,132,36,0.06738453939589562,2.753213189115802
NWSA,Communication Services,132,5,0.044433508674090794,2.7526053037082274
HAL,Energy,132,22,0.05285734534683861,2.7336539372551916
WDC,Information Technology,132,81,0.13825515470900096,2.7195476607266773
CIEN,Information Technology,132,77,0.13640888379696192,2.626931881090199
FOXA,Communication Services,132,22,0.045548394443946094,2.5749233883292493
CMCSA,Communication Services,132,8,0.026463341659070938,2.447272837982628
APH,Information Technology,132,70,0.10495078587559337,2.433649229361727
META,Communication Services,132,13,0.04523388113784499,2.412725829703671
APA,Energy,132,69,0.10900835065656178,2.359851702011956
DELL,Information Technology,132,68,0.1729533204479048,2.320387061261236
CAH,Health Care,132,4,0.01974293144393857,2.306221228298331
SYY,Consumer Staples,132,3,0.006454059773459031,2.287041771209814
FOX,Communication Services,132,25,0.04892501283315509,2.254177915196806
LITE,Information Technology,132,76,0.10391399920836442,2.249654553096503
AES,Utilities,132,6,0.02875162045742563,2.2244768144084146
WST,Health Care,132,9,0.02828869505691811,2.1996595399192658
ANET,Information Technology,132,75,0.11066025840331384,2.1979931455318313
AMD,Information Technology,132,77,0.10454149266340629,2.1666707995614756
APTV,Consumer Discretionary,132,40,0.08355914573290901,2.161224560125706
TJX,Consumer Discretionary,132,4,0.016903889134775252,2.139512720540306
EOG,Energy,132,7,0.026309233068655624,2.1159615788490695
DVN,Energy,132,14,0.025402693982360613,2.1097181445039572
DIS,Communication Services,132,7,0.06155324598220613,2.1087395641336593
CB,Financials,132,4,0.030231236745345003,2.1045418952118746
MRVL,Information Technology,132,70,0.11414194560539692,2.0875353192081043
DRI,Consumer Discretionary,132,6,0.019685688423484393,2.0830983409799675
MU,Information Technology,132,78,0.13836265833560346,2.0611598967648828
STZ,Consumer Staples,132,9,0.017526662035987073,2.02364679129235
DOC,Real Estate,132,6,0.01804443849454196,2.0158875482173264
STX,Information Technology,132,83,0.10859987254192771,2.013790314807011
MRNA,Health Care,132,59,0.08925034137335852,2.009895812232995
WRB,Financials,132,5,0.02555284447335615,2.006826530743639
HUM,Health Care,132,28,0.06956525229855348,1.9699325705944
KKR,Financials,132,43,0.05042474255038698,1.961020168692831
CVS,Health Care,132,8,0.04443830611149169,1.9564057662351508
CHD,Consumer Staples,132,6,0.025255547350887086,1.9514978211252492
ROST,Consumer Discretionary,132,8,0.06644889011969934,1.9350341318010233
TPR,Consumer Discretionary,132,24,0.047392784633718765,1.9187377275460877
VRT,Industrials,132,58,0.08035726945170918,1.9042371606999995
ARE,Real Estate,132,56,0.07997197110077603,1.9016907549978006
SPG,Real Estate,132,3,0.007790012769084864,1.8956663737141162
HD,Consumer Discretionary,132,7,0.023778772282792682,1.8838823879837143
COP,Energy,132,21,0.03614506271410334,1.883805793515888
HPE,Information Technology,132,64,0.0931280088762263,1.8453289761073988
Q,Information Technology,111,63,0.08361886122627982,1.837841551448755
LLY,Health Care,132,14,0.02919630687956909,1.8235362096555379
UNH,Health Care,132,4,0.04871203270874225,1.8228556953910267
CFG,Financials,132,7,0.023906837531071368,1.8057912750428424
SMCI,Information Technology,132,76,0.07539910225870705,1.7853728108672855
RL,Consumer Discretionary,132,20,0.04313955153224991,1.7792454372642221
TKO,Communication Services,132,20,0.03225876485070622,1.7661202032149077
MTB,Financials,132,5,0.029675289837591157,1.7552549807101678
REG,Real Estate,132,2,0.020542240413560897,1.7531417848727089
TDY,Information Technology,132,4,0.029993394851613786,1.692892659986612
AMAT,Information Technology,132,54,0.09008823271725896,1.6784943669960606
COST,Consumer Staples,132,5,0.022128806996547734,1.6626394243698113
MAR,Consumer Discretionary,132,5,0.031747514875376526,1.6194597430304114
INTC,Information Technology,132,62,0.08786361732264458,1.6116062841394336
D,Utilities,132,8,0.061182257848026556,1.6086896555592765
NTAP,Information Technology,132,27,0.08468525673168803,1.575854468324003
UAL,Industrials,132,54,0.06460545031192377,1.572687769390518
PAYX,Industrials,132,8,0.02020303964487069,1.572083841881939
OKE,Energy,132,16,0.02863041523216059,1.5698641503144246
CDW,Information Technology,132,44,0.042967718858448745,1.505010420169609
XOM,Energy,132,10,0.011442320387637928,1.5036050431939787
LOW,Consumer Discretionary,132,6,0.01793011892729557,1.5010137141771114
IVZ,Financials,132,36,0.037047240025837924,1.4793870515922667
PSX,Energy,132,15,0.020436782393086217,1.466484407078073
FFIV,Information Technology,132,16,0.02625009300116954,1.4526741728448747
WELL,Real Estate,132,6,0.0238641899944394,1.4522209000211543
DG,Consumer Staples,132,14,0.021865067506370295,1.4437431751241587
WTW,Financials,132,11,0.014876544215660648,1.4430992394288904
PANW,Information Technology,132,65,0.06517371204526934,1.4381179577547754
COHR,Information Technology,132,80,0.060727938922125135,1.4307378813870875
KIM,Real Estate,132,2,0.007068985045303844,1.4283142765398198
CVNA,Consumer Discretionary,132,71,0.053307705263160976,1.4076279190610081
TROW,Financials,132,4,0.014769618915746685,1.39597612501627
HIG,Financials,132,3,0.011900138872045218,1.3935667767962048
AVB,Real Estate,132,1,0.007179446649292265,1.3816985594155153
MAA,Real Estate,132,1,0.006581342581690519,1.3816985594155153
EQR,Real Estate,132,1,0.007912389801892017,1.3816985594155151
FRT,Real Estate,132,1,0.009670484676934876,1.3816985594155151
UDR,Real Estate,132,1,0.005373216563557159,1.3816985594155151
ESS,Real Estate,132,1,0.0066403773709549085,1.381698559415515
INVH,Real Estate,132,1,0.012463908016288716,1.381698559415515
