ticker,as_of,book_value_per_share,earnings_per_share,return_on_equity
A,2017-03-08,13.34472049689441,2.085714285714286,0.15681781564955874
A,2017-06-06,13.61993769470405,2.088611111111111,0.15398495476263088
A,2017-09-06,14.31055900621118,2.1068014705882354,0.1476452397365196
A,2018-03-06,14.0,-3.970879120879121,-0.2838382316489349
A,2018-05-31,14.326086956521738,-0.73,-0.05055158127995761
A,2018-08-30,14.307210031347962,0.5099264705882353,0.0355765388977677
A,2019-03-05,15.836477987421384,6.337362637362638,0.4014174864055722
A,2019-05-30,16.167192429022084,4.38,0.27142547425474256
A,2019-08-30,15.312903225806451,3.7305147058823525,0.24791586636761295
A,2020-03-03,15.638709677419355,2.5670329670329672,0.1629877960323505
A,2020-06-01,15.480519480519481,1.9359116022099447,0.12603591160220995
A,2020-09-01,16.119741100323626,2.1525641025641025,0.13340437251298523
A,2021-03-02,15.750819672131147,3.7703296703296703,0.24045895819417887
A,2021-06-01,15.874587458745875,3.3458333333333328,0.21247401247401249
A,2021-09-01,16.323432343234323,3.3816176470588233,0.20836802169310908
A,2022-03-03,17.18,3.7703296703296703,0.22023862827122428
A,2022-05-31,17.130434782608695,3.7716666666666665,0.2205139051585752
A,2022-09-01,17.199324324324323,3.958639705882353,0.23353640218609537
A,2022-12-21,17.983050847457626,4.201510989010989,0.23703017058342224
A,2023-03-03,18.949324324324323,4.773076923076923,0.25171476767126616
A,2023-05-26,19.596610169491527,4.481388888888889,0.22940091103038687
A,2023-08-31,18.96928327645051,3.475551470588235,0.18469998200791649
A,2023-12-20,20.008678460472098,4.231593406593406,0.21272995610035814
A,2024-03-05,21.11644018368887,4.773076923076923,0.22556951774792758
A,2024-06-03,21.310912122917447,4.517127071823205,0.21288589124184032
A,2024-08-30,20.5300576389976,4.291758241758242,0.21245173032399867
A,2024-12-20,20.68073119786235,4.44,0.21854866056290267
AABA,2016-02-29,30.70615232372015,-4.652747252747252,-0.1505001784045793
AABA,2016-05-10,30.032562122396122,-0.40555555555555556,-0.01413146938931845
AABA,2016-08-08,29.833146638815,-1.1494475138121547,-0.03833134142203379
AABA,2016-11-09,36.53642129197969,-0.5347985347985348,-0.014442909520919015
AABA,2017-03-01,32.50185594593576,-0.23,-0.0069026070585913365
AABA,2017-05-09,37.00313269795257,0.4101123595505618,0.011507912302028645
AAL,2016-02-24,9.02145067389124,11.421291208791208,1.3541981532221106
AAL,2016-04-22,8.042231736108375,4.663888888888888,0.6027364944562397
AAL,2016-07-22,8.027679976731346,5.686740331491713,0.7716484383808773
AAL,2016-10-20,8.457873107105703,5.655494505494506,0.726807163837453
AAL,2017-02-22,7.461154396549885,4.85,0.707001321003963
AAL,2017-04-27,6.97327540712592,1.886516853932584,0.277599919394942
AAL,2017-07-28,7.617982509575594,4.217777777777778,0.5660311051293554
AAL,2017-10-26,8.225001816354569,4.522242647058824,0.5645682475117706
AAL,2018-02-21,8.256435082011585,3.9307692307692306,0.4901355012791589
AAL,2018-04-26,-2.178050348440879,1.599438202247191,-0.7493212070373722
AAL,2018-07-26,-1.8870706725295774,3.2647222222222223,-1.757096279248178
AAL,2018-10-25,-1.2332826420874594,3.1534926470588234,-2.5845976594863296
AAL,2019-02-25,-0.36690406372737144,3.048351648351648,-8.37798296378178
AAL,2019-04-26,-1.431735174177979,1.681460674157303,-1.1929368949190868
AAL,2019-07-25,-0.049409072989420565,3.8324999999999996,-78.06944444444444
AAL,2019-10-24,0.36526737544487514,3.8244485294117645,10.668198529411764
AAL,2020-02-19,-0.2755705497902901,3.8104395604395602,-14.327388712981934
AAL,2020-04-30,-6.233350542756583,-21.33222222222222,3.4478376327769347
AAL,2020-07-23,-6.231366929835638,-20.32707182320442,2.741370563243019
AAL,2020-10-22,-10.868969062849981,-19.73406593406593,1.6221480521408163
AAL,2021-02-17,-11.049438890441833,-18.36,1.2938692296490462
AAL,2021-04-22,-12.387458980184704,-8.079213483146066,0.6452365631695434
AAL,2021-07-22,-11.841905102339583,-3.893333333333333,0.32557642421343996
AAL,2021-10-21,-11.486113967001993,-2.2141544117647056,0.19144391318447507
AAL,2022-02-22,-11.331924186432106,-3.098489010989011,0.2722718357936342
AAL,2022-04-21,-13.76448148163613,-10.334831460674156,0.7500377045471683
AAL,2022-07-21,-12.961322728131403,-3.6094444444444442,0.2790541966806512
AAL,2022-10-20,-12.145636363685044,-1.3955882352941176,0.11492871569000081
AAL,2023-02-22,-8.912729106377826,0.20054945054945056,-0.02196049337797915
AAL,2023-04-27,-8.840140562738503,0.08202247191011235,-0.007106434925499251
AAL,2023-07-20,-6.712213168513911,4.177222222222222,-0.6233624730774103
AAL,2023-10-19,-7.859170724084695,1.6505514705882351,-0.20980435106285503
AAL,2024-02-21,-7.950807191256584,1.2634615384615384,-0.1584502579312268
AAL,2024-04-25,-8.383563134293242,-1.9466666666666665,0.23006060606060605
AAL,2024-07-25,-7.228059102471645,1.2502762430939227,-0.17208443050617794
AAL,2024-10-24,-7.386971551098542,0.5214285714285715,-0.07051319783087397
AAP,2016-03-01,33.563139373107454,6.4855371900826455,0.19344752010182936
AAP,2017-02-28,39.54212260505227,6.254269972451791,0.15847871217570034
AAP,2018-02-21,46.19124648344514,6.475482093663913,0.13999924521431661
AAP,2019-02-19,49.00376759591499,5.78168044077135,0.1200238495181423
AAP,2020-02-18,51.26359198058701,6.907851239669422,0.13794518146797205
