ticker,reason
AAAU,etf/fund
AAPD,etf/fund
AAPU,etf/fund
AAXJ,etf/fund
ACWI,etf/fund
ACWV,etf/fund
ACWX,etf/fund
AGG,etf/fund
AGQ,etf/fund
ALLW,etf/fund
AMDD,etf/fund
AMDL,etf/fund
AMDY,etf/fund
AMLP,etf/fund
AMZU,etf/fund
AMZY,etf/fund
ANGL,etf/fund
AOM,etf/fund
AOR,etf/fund
APLX,etf/fund
APPX,etf/fund
ARCX,etf/fund
ARKB,etf/fund
ARKF,etf/fund
ARKG,etf/fund
ARKK,etf/fund
ARKW,etf/fund
ARMK,etf/fund
ARTY,etf/fund
ASHR,etf/fund
ASTX,etf/fund
ATC,etf/fund
AVDE,etf/fund
AVDV,etf/fund
AVEM,etf/fund
AVGX,etf/fund
AVL,etf/fund
AVLV,etf/fund
AVUS,etf/fund
AVUV,etf/fund
BAB,etf/fund
BAI,etf/fund
BAIG,etf/fund
BAR,etf/fund
BARK,etf/fund
BBAI,etf/fund
BBEU,etf/fund
BBJP,etf/fund
BCI,etf/fund
BDVL,etf/fund
BDYN,etf/fund
BIL,etf/fund
BILS,etf/fund
BINC,etf/fund
BITA,etf/fund
BITB,etf/fund
BITI,etf/fund
BITO,etf/fund
BITU,etf/fund
BITX,etf/fund
BIV,etf/fund
BIZD,etf/fund
BKLN,etf/fund
BLOK,etf/fund
BLOX,etf/fund
BLSH,etf/fund
BLV,etf/fund
BMNU,etf/fund
BND,etf/fund
BNDX,etf/fund
BOIL,etf/fund
BOND,etf/fund
BOTZ,etf/fund
BOXX,etf/fund
BRKU,etf/fund
BSCJ,etf/fund
BSCK,etf/fund
BSCQ,etf/fund
BSCR,etf/fund
BSJJ,etf/fund
BSJK,etf/fund
BSJL,etf/fund
BSV,etf/fund
BSVO,etf/fund
BTC,etf/fund
BTCI,etf/fund
BTCZ,etf/fund
BUFD,etf/fund
BUFR,etf/fund
BUG,etf/fund
BULG,etf/fund
BULL,etf/fund
BUYW,etf/fund
BWX,etf/fund
CAIE,etf/fund
CALF,etf/fund
CAM,etf/fund
CART,etf/fund
CCUP,etf/fund
CGBL,etf/fund
CGCB,etf/fund
CGCP,etf/fund
CGDG,etf/fund
CGDV,etf/fund
CGGO,etf/fund
CGGR,etf/fund
CGMM,etf/fund
CGMS,etf/fund
CGMU,etf/fund
CGNG,etf/fund
CGSD,etf/fund
CGUS,etf/fund
CGXU,etf/fund
CIBR,etf/fund
CLIP,etf/fund
CLOU,etf/fund
CLOZ,etf/fund
CLSK,etf/fund
CLSX,etf/fund
CMF,etf/fund
CNK,etf/fund
CONI,etf/fund
CONL,etf/fund
CONY,etf/fund
COPX,etf/fund
CORD,etf/fund
COWZ,etf/fund
COYY,etf/fund
CPST,etf/fund
CRCA,etf/fund
CRCG,etf/fund
CRDU,etf/fund
CRSH,etf/fund
CRWG,etf/fund
CRWU,etf/fund
CTA,etf/fund
CWB,etf/fund
CWEB,etf/fund
CWI,etf/fund
CWVX,etf/fund
