ticker,gics_sector,start_date,end_date
AAPL,Information Technology,2000-01-01,
MSFT,Information Technology,2000-01-01,
NVDA,Information Technology,2001-11-30,
CSCO,Information Technology,2000-01-01,
JNJ,Health Care,2000-01-01,
UNH,Health Care,2000-01-01,
PFE,Health Care,2000-01-01,
MRK,Health Care,2000-01-01,
JPM,Financials,2000-12-31,
BAC,Financials,2000-01-01,
WFC,Financials,2000-01-01,
GS,Financials,2000-01-01,
LEH,Financials,2000-01-01,2008-09-15
AMZN,Consumer Discretionary,2005-01-01,
HD,Consumer Discretionary,2000-01-01,
MCD,Consumer Discretionary,2000-01-01,
NKE,Consumer Discretionary,2000-01-01,
GOOGL,Communication Services,2014-04-03,
META,Communication Services,2013-12-23,
NFLX,Communication Services,2010-12-20,
DIS,Communication Services,2000-01-01,
CAT,Industrials,2000-01-01,
BA,Industrials,2000-01-01,
HON,Industrials,2000-01-01,
GE,Industrials,2000-01-01,2018-06-26
PG,Consumer Staples,2000-01-01,
KO,Consumer Staples,2000-01-01,
PEP,Consumer Staples,2000-01-01,
WMT,Consumer Staples,2000-01-01,
XOM,Energy,2000-01-01,
CVX,Energy,2000-01-01,
COP,Energy,2002-08-30,
NEE,Utilities,2000-01-01,
DUK,Utilities,2000-01-01,
SO,Utilities,2000-01-01,
AMT,Real Estate,2016-09-01,
PLD,Real Estate,2000-01-01,
EQIX,Real Estate,2015-01-01,
LIN,Materials,2018-10-31,
SHW,Materials,2000-01-01,
FCX,Materials,2000-01-01,
