ticker,gics_sector,company_name
AABA,Communication Services,Yahoo
AAL,Industrials,American Airlines
AAP,Consumer Discretionary,Advance Auto Parts
ABMD,Health Care,Abiomed
ADS,Financials,Alliance Data Systems
ADSK,Information Technology,Autodesk
ADT,Industrials,ADT
AET,Health Care,Aetna
AGN,Health Care,Allergan
AIV,Real Estate,Aimco
ALK,Industrials,Alaska Air Group
ALTR,Information Technology,Altera
ALXN,Health Care,Alexion Pharmaceuticals
AMG,Financials,Affiliated Managers Group
AMTM,Industrials,Amentum
AN,Consumer Discretionary,AutoNation
ANDV,Energy,Andeavor
ANSS,Information Technology,Ansys
APC,Energy,Anadarko Petroleum
APP,Information Technology,AppLovin
ARES,Financials,Ares Management
ARG,Materials,Airgas
ARNC,Industrials,Arconic
ATI,Materials,Allegheny Technologies
ATVI,Communication Services,Activision Blizzard
AVP,Consumer Staples,Avon Products
AYI,Industrials,Acuity Brands
BBBY,Consumer Discretionary,Bed Bath & Beyond
BBT,Financials,BB&T
BBWI,Consumer Discretionary,Bath & Body Works
BCR,Health Care,C.R. Bard
BHF,Financials,Brighthouse Financial
BMY,Health Care,Bristol-Myers Squibb
BNY,Financials,BNY Mellon
BRCM,Information Technology,Broadcom Corporation
BX,Financials,Blackstone
BXLT,Health Care,Baxalta
CA,Information Technology,CA Technologies
CAH,Health Care,Cardinal Health
CAM,Energy,Cameron International
CASY,Consumer Staples,Casey's General Stores
CBS,Communication Services,CBS
CCE,Consumer Staples,Coca-Cola Enterprises
CCEP,Consumer Staples,Coca-Cola Europacific Partners
CCL,Consumer Discretionary,Carnival
CE,Materials,Celanese
CELG,Health Care,Celgene
CERN,Health Care,Cerner
CFN,Health Care,CareFusion
CIEN,Information Technology,Ciena
CMA,Financials,Comerica
CNX,Energy,CNX Resources
COHR,Information Technology,Coherent
COL,Industrials,Rockwell Collins
COO,Health Care,Cooper Companies
COTY,Consumer Staples,Coty
COV,Health Care,Covidien
CPGX,Energy,Columbia Pipeline Group
CPRI,Consumer Discretionary,Capri Holdings
CRH,Materials,CRH
CSRA,Information Technology,CSRA
CTSH,Information Technology,Cognizant
CTXS,Information Technology,Citrix Systems
CVC,Communication Services,Cablevision
CVNA,Consumer Discretionary,Carvana
CXO,Energy,Concho Resources
DDOG,Information Technology,Datadog
DISCA,Communication Services,Discovery
DISH,Communication Services,DISH Network
DNB,Industrials,Dun & Bradstreet
DNR,Energy,Denbury Resources
DO,Energy,Diamond Offshore Drilling
DRE,Real Estate,Duke Realty
DTV,Communication Services,DIRECTV
DWDP,Materials,DowDuPont
DXC,Information Technology,DXC Technology
ECHO,Communication Services,EchoStar
EMC,Information Technology,EMC
EME,Industrials,EMCOR Group
ENDP,Health Care,Endo International
ERIE,Financials,Erie Indemnity
ESRX,Health Care,Express Scripts
ESV,Energy,Ensco
ETFC,Financials,E*TRADE
EVHC,Health Care,Envision Healthcare
EXE,Energy,Expand Energy
FBHS,Industrials,Fortune Brands
FCPT,Real Estate,Four Corners Property Trust
FDO,Consumer Discretionary,Family Dollar
