ticker,gics_sector,start_date,end_date
AAPL,Information Technology,2000-01-01,
MSFT,Information Technology,2000-01-01,
NVDA,Information Technology,2000-01-01,
AVGO,Information Technology,2000-01-01,
ORCL,Information Technology,2000-01-01,
CRM,Information Technology,2000-01-01,
AMD,Information Technology,2000-01-01,
ADBE,Information Technology,2000-01-01,
CSCO,Information Technology,2000-01-01,
ACN,Information Technology,2000-01-01,
IBM,Information Technology,2000-01-01,
NOW,Information Technology,2000-01-01,
INTU,Information Technology,2000-01-01,
QCOM,Information Technology,2000-01-01,
TXN,Information Technology,2000-01-01,
AMAT,Information Technology,2000-01-01,
PANW,Information Technology,2000-01-01,
PLTR,Information Technology,2000-01-01,
ANET,Information Technology,2000-01-01,
MU,Information Technology,2000-01-01,
LRCX,Information Technology,2000-01-01,
KLAC,Information Technology,2000-01-01,
SNPS,Information Technology,2000-01-01,
CDNS,Information Technology,2000-01-01,
CRWD,Information Technology,2000-01-01,
APH,Information Technology,2000-01-01,
ADI,Information Technology,2000-01-01,
MSI,Information Technology,2000-01-01,
FTNT,Information Technology,2000-01-01,
DELL,Information Technology,2000-01-01,
INTC,Information Technology,2000-01-01,
HPQ,Information Technology,2000-01-01,
SMCI,Information Technology,2000-01-01,
MCHP,Information Technology,2000-01-01,
NXPI,Information Technology,2000-01-01,
ON,Information Technology,2000-01-01,
GLW,Information Technology,2000-01-01,
HPE,Information Technology,2000-01-01,
WDC,Information Technology,2000-01-01,
STX,Information Technology,2000-01-01,
NTAP,Information Technology,2000-01-01,
TER,Information Technology,2000-01-01,
ZBRA,Information Technology,2000-01-01,
KEYS,Information Technology,2000-01-01,
IT,Information Technology,2000-01-01,
GDDY,Information Technology,2000-01-01,
TYL,Information Technology,2000-01-01,
PTC,Information Technology,2000-01-01,
CDW,Information Technology,2000-01-01,
FSLR,Information Technology,2000-01-01,
VRSN,Information Technology,2000-01-01,
AKAM,Information Technology,2000-01-01,
JBL,Information Technology,2000-01-01,
SWKS,Information Technology,2000-01-01,
EPAM,Information Technology,2000-01-01,
JNPR,Information Technology,2000-01-01,
TDY,Information Technology,2000-01-01,
TRMB,Information Technology,2000-01-01,
FFIV,Information Technology,2000-01-01,
GEN,Information Technology,2000-01-01,
ENPH,Information Technology,2000-01-01,
QRVO,Information Technology,2000-01-01,
MPWR,Information Technology,2000-01-01,
SEDG,Information Technology,2000-01-01,
WDAY,Information Technology,2000-01-01,
BRK.B,Financials,2000-01-01,
JPM,Financials,2000-01-01,
V,Financials,2000-01-01,
MA,Financials,2000-01-01,
BAC,Financials,2000-01-01,
WFC,Financials,2000-01-01,
GS,Financials,2000-01-01,
MS,Financials,2000-01-01,
AXP,Financials,2000-01-01,
SPGI,Financials,2000-01-01,
BLK,Financials,2000-01-01,
C,Financials,2000-01-01,
SCHW,Financials,2000-01-01,
PGR,Financials,2000-01-01,
CB,Financials,2000-01-01,
MMC,Financials,2000-01-01,
KKR,Financials,2000-01-01,
FI,Financials,2000-01-01,
ICE,Financials,2000-01-01,
PYPL,Financials,2000-01-01,
CME,Financials,2000-01-01,
AON,Financials,2000-01-01,
MCO,Financials,2000-01-01,
APO,Financials,2000-01-01,
USB,Financials,2000-01-01,
PNC,Financials,2000-01-01,
COF,Financials,2000-01-01,
AJG,Financials,2000-01-01,
TFC,Financials,2000-01-01,
AFL,Financials,2000-01-01,
BK,Financials,2000-01-01,
TRV,Financials,2000-01-01,
ALL,Financials,2000-01-01,
AMP,Financials,2000-01-01,
MET,Financials,2000-01-01,
AIG,Financials,2000-01-01,
PRU,Financials,2000-01-01,
FIS,Financials,2000-01-01,
MSCI,Financials,2000-01-01,
ACGL,Financials,2000-01-01,
COIN,Financials,2000-01-01,
DFS,Financials,2000-01-01,
GPN,Financials,2000-01-01,
NDAQ,Financials,2000-01-01,
WTW,Financials,2000-01-01,
TROW,Financials,2000-01-01,
HIG,Financials,2000-01-01,
BRO,Financials,2000-01-01,
STT,Financials,2000-01-01,
RJF,Financials,2000-01-01,
CBOE,Financials,2000-01-01,
CINF,Financials,2000-01-01,
FITB,Financials,2000-01-01,
CPAY,Financials,2000-01-01,
SYF,Financials,2000-01-01,
MTB,Financials,2000-01-01,
NTRS,Financials,2000-01-01,
KEY,Financials,2000-01-01,
RF,Financials,2000-01-01,
PFG,Financials,2000-01-01,
CFG,Financials,2000-01-01,
HBAN,Financials,2000-01-01,
WRB,Financials,2000-01-01,
L,Financials,2000-01-01,
GL,Financials,2000-01-01,
AIZ,Financials,2000-01-01,
IVZ,Financials,2000-01-01,
EG,Financials,2000-01-01,
MKTX,Financials,2000-01-01,
BEN,Financials,2000-01-01,
JKHY,Financials,2000-01-01,
LLY,Health Care,2000-01-01,
UNH,Health Care,2000-01-01,
JNJ,Health Care,2000-01-01,
ABBV,Health Care,2000-01-01,
MRK,Health Care,2000-01-01,
TMO,Health Care,2000-01-01,
ABT,Health Care,2000-01-01,
DHR,Health Care,2000-01-01,
AMGN,Health Care,2000-01-01,
PFE,Health Care,2000-01-01,
ISRG,Health Care,2000-01-01,
ELV,Health Care,2000-01-01,
SYK,Health Care,2000-01-01,
VRTX,Health Care,2000-01-01,
REGN,Health Care,2000-01-01,
BSX,Health Care,2000-01-01,
MDT,Health Care,2000-01-01,
GILD,Health Care,2000-01-01,
CI,Health Care,2000-01-01,
ZTS,Health Care,2000-01-01,
CVS,Health Care,2000-01-01,
BDX,Health Care,2000-01-01,
MCK,Health Care,2000-01-01,
HCA,Health Care,2000-01-01,
COR,Health Care,2000-01-01,
IQV,Health Care,2000-01-01,
A,Health Care,2000-01-01,
RMD,Health Care,2000-01-01,
GEHC,Health Care,2000-01-01,
IDXX,Health Care,2000-01-01,
EW,Health Care,2000-01-01,
BIIB,Health Care,2000-01-01,
MTD,Health Care,2000-01-01,
DXCM,Health Care,2000-01-01,
HUM,Health Care,2000-01-01,
WST,Health Care,2000-01-01,
ZBH,Health Care,2000-01-01,
BAX,Health Care,2000-01-01,
STE,Health Care,2000-01-01,
PODD,Health Care,2000-01-01,
LH,Health Care,2000-01-01,
MOH,Health Care,2000-01-01,
CNC,Health Care,2000-01-01,
WAT,Health Care,2000-01-01,
HOLX,Health Care,2000-01-01,
VTRS,Health Care,2000-01-01,
DGX,Health Care,2000-01-01,
RVTY,Health Care,2000-01-01,
UHS,Health Care,2000-01-01,
INCY,Health Care,2000-01-01,
TFX,Health Care,2000-01-01,
CRL,Health Care,2000-01-01,
SOLV,Health Care,2000-01-01,
CTLT,Health Care,2000-01-01,
TECH,Health Care,2000-01-01,
HSIC,Health Care,2000-01-01,
BIO,Health Care,2000-01-01,
DVA,Health Care,2000-01-01,
MRNA,Health Care,2000-01-01,
ALGN,Health Care,2000-01-01,
AMZN,Consumer Discretionary,2000-01-01,
TSLA,Consumer Discretionary,2000-01-01,
HD,Consumer Discretionary,2000-01-01,
MCD,Consumer Discretionary,2000-01-01,
BKNG,Consumer Discretionary,2000-01-01,
LOW,Consumer Discretionary,2000-01-01,
TJX,Consumer Discretionary,2000-01-01,
SBUX,Consumer Discretionary,2000-01-01,
NKE,Consumer Discretionary,2000-01-01,
ORLY,Consumer Discretionary,2000-01-01,
CMG,Consumer Discretionary,2000-01-01,
AZO,Consumer Discretionary,2000-01-01,
ROST,Consumer Discretionary,2000-01-01,
DHI,Consumer Discretionary,2000-01-01,
GM,Consumer Discretionary,2000-01-01,
RCL,Consumer Discretionary,2000-01-01,
MAR,Consumer Discretionary,2000-01-01,
ABNB,Consumer Discretionary,2000-01-01,
HLT,Consumer Discretionary,2000-01-01,
F,Consumer Discretionary,2000-01-01,
YUM,Consumer Discretionary,2000-01-01,
LEN,Consumer Discretionary,2000-01-01,
EBAY,Consumer Discretionary,2000-01-01,
LULU,Consumer Discretionary,2000-01-01,
GRMN,Consumer Discretionary,2000-01-01,
