ticker,gics_sector,start_date,end_date
A,Health Care,2000-06-05,
AABA,Communication Services,1999-12-08,2017-06-19
AAL,Industrials,2015-03-23,2024-09-23
AAP,Consumer Discretionary,2015-07-09,2023-08-25
AAPL,Information Technology,1996-01-02,
ABBV,Health Care,2013-01-02,
ABMD,Health Care,2018-05-31,2022-12-22
ABNB,Consumer Discretionary,2023-09-18,
ABT,Health Care,1996-01-02,
ACGL,Financials,2022-11-01,
ACN,Information Technology,2011-07-06,
ADBE,Information Technology,1997-05-06,
ADI,Information Technology,1999-10-12,
ADM,Consumer Staples,1996-01-02,
ADP,Industrials,1996-01-02,
ADS,Financials,2013-12-23,2020-06-22
ADSK,Information Technology,1996-01-02,
ADT,Industrials,2012-10-02,2016-05-02
AEE,Utilities,1996-01-02,
AEP,Utilities,1996-01-02,
AES,Utilities,1998-10-02,
AET,Health Care,1996-01-02,2018-11-29
AFL,Financials,1999-05-28,
AGN,Health Care,1996-01-02,2020-05-12
AIG,Financials,1996-01-02,
AIV,Real Estate,2003-03-14,2020-12-21
AIZ,Financials,2007-04-10,
AJG,Financials,2016-05-31,
AKAM,Information Technology,2007-07-12,
ALB,Materials,2016-07-01,
ALGN,Health Care,2017-06-19,
ALK,Industrials,2016-05-13,2023-12-18
ALL,Financials,1996-01-02,
ALLE,Industrials,2013-12-02,
ALTR,Information Technology,2000-04-18,2015-12-28
ALXN,Health Care,2012-05-25,2021-07-21
AMAT,Information Technology,1996-01-02,
AMCR,Materials,2019-06-07,
AMD,Information Technology,2017-03-20,
AME,Industrials,2013-09-23,
AMG,Financials,2014-07-01,2019-12-23
AMGN,Health Care,1996-01-02,
AMP,Financials,2005-10-03,
AMT,Real Estate,2007-11-19,
AMTM,Industrials,2024-09-30,2024-12-23
AMZN,Consumer Discretionary,2005-11-21,
AN,Consumer Discretionary,2003-02-24,2017-08-08
ANDV,Energy,2007-09-27,2018-10-01
ANET,Information Technology,2018-08-28,
ANSS,Information Technology,2017-06-19,2025-07-18
AON,Financials,1996-04-23,
AOS,Industrials,2017-07-26,
APA,Energy,1997-07-28,
APC,Energy,1997-07-28,2019-08-09
APD,Materials,1996-01-02,
APH,Information Technology,2008-09-30,
APO,Financials,2024-12-23,
APP,Information Technology,2025-09-22,
APTV,Consumer Discretionary,2012-12-24,
ARE,Real Estate,2017-03-20,
ARES,Financials,2025-12-11,
ARG,Materials,2009-09-09,2016-05-23
ARNC,Industrials,1996-01-02,2020-04-06
ATI,Materials,1996-01-02,2015-07-02
ATO,Utilities,2019-02-15,
ATVI,Communication Services,2015-08-31,2023-10-18
AVB,Real Estate,2007-01-10,
AVGO,Information Technology,2014-05-08,
AVP,Consumer Staples,1996-01-02,2015-03-23
AVY,Materials,1996-01-02,
AWK,Utilities,2016-03-04,
AXON,Industrials,2023-05-04,
AXP,Financials,1996-01-02,
AYI,Industrials,2016-05-03,2018-06-18
AZO,Consumer Discretionary,1997-01-02,
BA,Industrials,1996-01-02,
BAC,Financials,1996-01-02,
BALL,Materials,1996-01-02,
BAX,Health Care,1996-01-02,
BBBY,Consumer Discretionary,1999-10-01,2017-07-26
BBT,Financials,1997-12-04,2019-12-09
BBWI,Consumer Discretionary,1996-01-02,2024-10-01
BBY,Consumer Discretionary,1999-06-30,
